,Name,Author,Rating,Enrollment,Difficulty,URL
0,Machine Learning,Stanford University,4.9,3.6m,Mixed,"https://www.coursera.org/learn/machine-learning, /learn/machine-learning"
1,Indigenous Canada,University of Alberta,4.8,170k,Mixed,"https://www.coursera.org/learn/indigenous-canada, /learn/indigenous-canada"
2,The Science of Well-Being,Yale University,4.9,3m,Mixed,"https://www.coursera.org/learn/the-science-of-well-being, /learn/the-science-of-well-being"
3,Financial Markets,Yale University,4.8,700k,Beginner,"https://www.coursera.org/learn/financial-markets-global, /learn/financial-markets-global"
4,Introduction to Psychology,Yale University,4.8,440k,Beginner,"https://www.coursera.org/learn/introduction-psychology, /learn/introduction-psychology"
5,Psychological First Aid,Johns Hopkins University,4.8,280k,Mixed,"https://www.coursera.org/learn/psychological-first-aid, /learn/psychological-first-aid"
6,Successful Negotiation: Essential Strategies and Skills,University of Michigan,4.8,890k,Mixed,"https://www.coursera.org/learn/negotiation-skills, /learn/negotiation-skills"
7,"Brand Management: Aligning Business, Brand and Behaviour",London Business School,4.9,110k,Beginner,"https://www.coursera.org/learn/brand, /learn/brand"
8,Writing in the Sciences,Stanford University,4.9,180k,Beginner,"https://www.coursera.org/learn/sciwrite, /learn/sciwrite"
9,Stanford Introduction to Food and Health,Stanford University,4.7,450k,Beginner,"https://www.coursera.org/learn/food-and-health, /learn/food-and-health"
10,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,4.9,300k,Mixed,"https://www.coursera.org/learn/negotiation, /learn/negotiation"
11,Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,4.8,2.5m,Mixed,"https://www.coursera.org/learn/learning-how-to-learn, /learn/learning-how-to-learn"
12,Private Equity and Venture Capital,Università Bocconi,4.8,97k,Mixed,"https://www.coursera.org/learn/private-equity, /learn/private-equity"
13,First Step Korean,Yonsei University,4.9,600k,Beginner,"https://www.coursera.org/learn/learn-korean, /learn/learn-korean"
14,Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,4.8,330k,Mixed,"https://www.coursera.org/learn/pap, /learn/pap"
15,Management of Fashion and Luxury Companies,Università Bocconi,4.7,140k,Mixed,"https://www.coursera.org/learn/mafash, /learn/mafash"
16,Design and Interpretation of Clinical Trials,Johns Hopkins University,4.7,81k,Mixed,"https://www.coursera.org/learn/clinical-trials, /learn/clinical-trials"
17,Contabilidad para no contadores,Universidad Nacional Autónoma de México,4.7,290k,Beginner,"https://www.coursera.org/learn/contabilidad, /learn/contabilidad"
18,Social Psychology,Wesleyan University,4.7,330k,Beginner,"https://www.coursera.org/learn/social-psychology, /learn/social-psychology"
19,Introduction to User Experience Design,Georgia Institute of Technology,4.5,120k,Beginner,"https://www.coursera.org/learn/user-experience-design, /learn/user-experience-design"
20,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,4.9,300k,Mixed,https://www.coursera.org/learn/negotiation
21,Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,4.8,2.5m,Mixed,https://www.coursera.org/learn/learning-how-to-learn
22,Private Equity and Venture Capital,Università Bocconi,4.8,97k,Mixed,https://www.coursera.org/learn/private-equity
23,First Step Korean,Yonsei University,4.9,600k,Beginner,https://www.coursera.org/learn/learn-korean
24,Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,4.8,330k,Mixed,https://www.coursera.org/learn/pap
25,Management of Fashion and Luxury Companies,Università Bocconi,4.7,140k,Mixed,https://www.coursera.org/learn/mafash
26,Design and Interpretation of Clinical Trials,Johns Hopkins University,4.7,81k,Mixed,https://www.coursera.org/learn/clinical-trials
27,Contabilidad para no contadores,Universidad Nacional Autónoma de México,4.7,290k,Beginner,https://www.coursera.org/learn/contabilidad
28,Social Psychology,Wesleyan University,4.7,330k,Beginner,https://www.coursera.org/learn/social-psychology
29,Introduction to User Experience Design,Georgia Institute of Technology,4.5,120k,Beginner,https://www.coursera.org/learn/user-experience-design
30,Agile with Atlassian Jira,Atlassian,4.7,58k,Beginner,https://www.coursera.org/learn/agile-atlassian-jira
31,English for Career Development,University of Pennsylvania,4.8,1m,Mixed,https://www.coursera.org/learn/careerdevelopment
32,Game Theory,The University of British Columbia,4.6,290k,Beginner,https://www.coursera.org/learn/game-theory-1
33,Medical Neuroscience,Duke University,4.9,200k,Advanced,https://www.coursera.org/learn/medical-neuroscience
34,Clinical Terminology for International and U.S. Students,University of Pittsburgh,4.8,48k,Beginner,https://www.coursera.org/learn/clinical-terminology
35,Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,4.9,160k,Beginner,https://www.coursera.org/learn/neurobiology
36,Organizational Analysis,Stanford University,4.6,72k,Beginner,https://www.coursera.org/learn/organizational-analysis
37,Child Nutrition and Cooking,Stanford University,4.8,390k,Beginner,https://www.coursera.org/learn/childnutrition
38,Introduction to Psychology,University of Toronto,4.9,300k,Mixed,https://www.coursera.org/learn/introduction-psych
39,International Women's Health and Human Rights,Stanford University,4.9,47k,Beginner,https://www.coursera.org/learn/womens-health-human-rights
40,Global Diplomacy – Diplomacy in the Modern World,University of London,4.7,99k,Mixed,https://www.coursera.org/learn/global-diplomacy
41,Forensic Accounting and Fraud Examination,West Virginia University,4.7,55k,Mixed,https://www.coursera.org/learn/forensic-accounting
42,Managing the Company of the Future,London Business School,4.8,71k,Mixed,https://www.coursera.org/learn/company-future-management
43,Introductory Human Physiology,Duke University,4.7,310k,Mixed,https://www.coursera.org/learn/physiology
44,Moral Foundations of Politics,Yale University,4.9,130k,Mixed,https://www.coursera.org/learn/moral-politics
45,The Strategy of Content Marketing,"University of California, Davis",4.5,160k,Intermediate,https://www.coursera.org/learn/content-marketing
46,Positive Psychiatry and Mental Health,The University of Sydney,4.8,120k,Mixed,https://www.coursera.org/learn/positive-psychiatry
47,Data Science Math Skills,Duke University,4.5,200k,Beginner,https://www.coursera.org/learn/datasciencemathskills
48,Cursos en línea: modelo para armar,Universidad Nacional Autónoma de México,4.8,4.8k,Beginner,https://www.coursera.org/learn/enlinea
49,An Introduction to American Law,University of Pennsylvania,4.8,120k,Beginner,https://www.coursera.org/learn/american-law
50,Animal Behaviour and Welfare,The University of Edinburgh,4.8,88k,Mixed,https://www.coursera.org/learn/animal-welfare
51,Financial Engineering and Risk Management Part I,Columbia University,4.6,350k,Mixed,https://www.coursera.org/learn/financial-engineering-1
52,Learning to Teach Online,UNSW Sydney (The University of New South Wales),4.7,110k,Beginner,https://www.coursera.org/learn/teach-online
53,Étudier en France: French Intermediate course B1-B2,École Polytechnique,4.8,250k,Intermediate,https://www.coursera.org/learn/etudier-en-france
54,Wind Energy,Technical University of Denmark (DTU),4.7,96k,Mixed,https://www.coursera.org/learn/wind-energy
55,Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,4.8,81k,Mixed,https://www.coursera.org/learn/systematic-review
56,Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,4.8,220k,Mixed,https://www.coursera.org/learn/vital-signs
57,Introduction to Calculus,The University of Sydney,4.8,85k,Intermediate,https://www.coursera.org/learn/introduction-to-calculus
58,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,4.7,85k,Beginner,https://www.coursera.org/learn/neuromarketing
59,Introduction to Philosophy,The University of Edinburgh,4.7,440k,Mixed,https://www.coursera.org/learn/philosophy
60,Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,4.7,230k,Beginner,https://www.coursera.org/learn/camino-excelencia-gestion-proyectos
61,Principles of Sustainable Finance,Erasmus University Rotterdam,4.7,5.1k,Intermediate,https://www.coursera.org/learn/sustainable-finance
62,Cryptography I,Stanford University,4.8,280k,Mixed,https://www.coursera.org/learn/crypto
63,Introduction to Dental Medicine,University of Pennsylvania,4.8,32k,Beginner,https://www.coursera.org/learn/dental-medicine-penn
64,Understanding Research Methods,University of London,4.6,160k,Mixed,https://www.coursera.org/learn/research-methods
65,Food & Beverage Management,Università Bocconi,4.8,71k,Mixed,https://www.coursera.org/learn/food-beverage-management
66,Introduction to Mathematical Thinking,Stanford University,4.8,300k,Intermediate,https://www.coursera.org/learn/mathematical-thinking
67,Data Management for Clinical Research,Vanderbilt University,4.7,52k,Beginner,https://www.coursera.org/learn/clinical-data-management
68,Introduction to English Common Law,University of London,4.8,35k,Beginner,https://www.coursera.org/learn/intro-common-law
69,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,4.7,41k,Advanced,https://www.coursera.org/learn/advanced-valuation-and-strategy
70,Everyday Parenting: The ABCs of Child Rearing,Yale University,4.9,110k,Beginner,https://www.coursera.org/learn/everyday-parenting
71,Circular Economy - Sustainable Materials Management,Ghent University,4.8,18k,Beginner,https://www.coursera.org/learn/circular-economy
72,Chinese for Beginners,Peking University,4.8,840k,Mixed,https://www.coursera.org/learn/learn-chinese
73,Devenir entrepreneur du changement,Ticket for Change,4.7,57k,Mixed,https://www.coursera.org/learn/entrepreneur-changement
74,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,4.6,14k,Mixed,https://www.coursera.org/learn/corp-sustainability
75,Race and Cultural Diversity in American Life and History,University of Illinois at Urbana-Champaign,4.6,32k,Beginner,https://www.coursera.org/learn/race-cultural-diversity-american-life
76,Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,4.8,96k,Beginner,https://www.coursera.org/learn/terrorism
77,"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,4.8,43k,Beginner,https://www.coursera.org/learn/global-sustainable-development
78,Behavioral Finance,Duke University,4.4,68k,Mixed,https://www.coursera.org/learn/duke-behavioral-finance
79,Understanding Clinical Research: Behind the Statistics,University of Cape Town,4.8,91k,Mixed,https://www.coursera.org/learn/clinical-research
80,Foundations of Data Science: K-Means Clustering in Python,"Goldsmiths, University of London",4.7,11k,Beginner,https://www.coursera.org/learn/data-science-k-means-clustering-python
81,Supporting children with difficulties in reading and writing,University of London,4.8,60k,Mixed,https://www.coursera.org/learn/dyslexia-difficulties
82,Learn to Speak Korean 1,Yonsei University,4.9,180k,Beginner,https://www.coursera.org/learn/learn-speak-korean1
83,Microeconomics Principles,University of Illinois at Urbana-Champaign,4.8,94k,Beginner,https://www.coursera.org/learn/microeconomics
84,International Organizations Management,University of Geneva,4.8,27k,Beginner,https://www.coursera.org/learn/international-organizations-management
85,Oil & Gas Industry Operations and Markets,Duke University,4.8,75k,Mixed,https://www.coursera.org/learn/oilandgas
86,Learn to Program: The Fundamentals,University of Toronto,4.7,210k,Beginner,https://www.coursera.org/learn/learn-to-program
87,Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,4.8,140k,Beginner,https://www.coursera.org/learn/nutricion-obesidad-sobrepeso
88,International Leadership and Organizational Behavior,Università Bocconi,4.8,56k,Mixed,https://www.coursera.org/learn/organizational-behavior
89,Introduction to Classical Music,Yale University,4.9,170k,Mixed,https://www.coursera.org/learn/introclassicalmusic
90,Miracles of Human Language: An Introduction to Linguistics,Meertens instituut (KNAW),4.7,130k,Beginner,https://www.coursera.org/learn/human-language
91,Dog Emotion and Cognition,Duke University,4.7,160k,Mixed,https://www.coursera.org/learn/dog-emotion-and-cognition
92,Innovation Management,Erasmus University Rotterdam,4.7,51k,Beginner,https://www.coursera.org/learn/innovation-management
93,Rethinking International Tax Law,Universiteit Leiden,4.8,40k,Mixed,https://www.coursera.org/learn/international-taxation
94,The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,4.6,58k,Mixed,https://www.coursera.org/learn/people-management
95,EDIVET: Do you have what it takes to be a veterinarian?,The University of Edinburgh,4.8,42k,Mixed,https://www.coursera.org/learn/becoming-a-veterinarian
96,Introduction to Forensic Science,"Nanyang Technological University, Singapore",4.9,69k,Mixed,https://www.coursera.org/learn/forensic-science
97,Feminism and Social Justice,"University of California, Santa Cruz",4.8,45k,Beginner,https://www.coursera.org/learn/feminism-social-justice
98,Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,4.8,9k,Beginner,https://www.coursera.org/learn/sdgbusiness
99,Astronomy: Exploring Time and Space,University of Arizona,4.8,140k,Beginner,https://www.coursera.org/learn/astro
100,Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,4.6,150k,Mixed,https://www.coursera.org/learn/epidemiology
101,Introduction to International Criminal Law,Case Western Reserve University,4.8,110k,Mixed,https://www.coursera.org/learn/international-criminal-law
102,Sports Marketing,Northwestern University,4.7,16k,Intermediate,https://www.coursera.org/learn/sports-marketing
103,English for Business and Entrepreneurship,University of Pennsylvania,4.8,270k,Beginner,https://www.coursera.org/learn/business
104,Dino 101: Dinosaur Paleobiology,University of Alberta,4.9,45k,Beginner,https://www.coursera.org/learn/dino101
105,Troubles du spectre de l'autisme : diagnostic,University of Geneva,4.9,7.7k,Intermediate,https://www.coursera.org/learn/troubles-spectre-autisme-diagnostic
106,American Contract Law I,Yale University,4.9,25k,Beginner,https://www.coursera.org/learn/contracts-1
107,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,4.9,16k,Beginner,https://www.coursera.org/learn/addiction-treatment
108,Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,4.8,120k,Mixed,https://www.coursera.org/learn/negociacion
109,Greek and Roman Mythology,University of Pennsylvania,4.8,160k,Mixed,https://www.coursera.org/learn/mythology
110,Essentials of Global Health,Yale University,4.8,44k,Mixed,https://www.coursera.org/learn/essentials-global-health
111,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,4.4,65k,Intermediate,https://www.coursera.org/learn/python-statistics-financial-analysis
112,International Security Management,Erasmus University Rotterdam,4.7,6.3k,Beginner,https://www.coursera.org/learn/international-security-management
113,Essentials in Clinical Simulations Across the Health Professions,The George Washington University,4.8,6.7k,Intermediate,https://www.coursera.org/learn/clinicalsimulations
114,International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,4.8,27k,Beginner,https://www.coursera.org/learn/international-humanitarian-law
115,Global Diplomacy: the United Nations in the World,University of London,4.7,38k,Beginner,https://www.coursera.org/learn/global-diplomacy-un
116,Financing and Investing in Infrastructure,Università Bocconi,4.8,28k,Mixed,https://www.coursera.org/learn/infrastructure-investing
117,"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,4.7,8.6k,Intermediate,https://www.coursera.org/learn/leading-for-equity-diversity-inclusion
118,Children's Human Rights - An Interdisciplinary Introduction,University of Geneva,4.7,46k,Beginner,https://www.coursera.org/learn/childrens-rights
119,Python Programming: A Concise Introduction,Wesleyan University,4.6,130k,Beginner,https://www.coursera.org/learn/python-programming-introduction
120,Industrial Biotechnology,University of Manchester   ,4.6,38k,Beginner,https://www.coursera.org/learn/industrial-biotech
121,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,4.6,27k,Intermediate,https://www.coursera.org/learn/design-strategy
122,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,4.8,87k,Beginner,https://www.coursera.org/learn/competencias-digitales-ofimatica
123,Mind Control: Managing Your Mental Health During COVID-19,University of Toronto,4.8,110k,Beginner,https://www.coursera.org/learn/manage-health-covid-19
124,How to Manage a Remote Team,GitLab,0,,Intermediate,https://www.coursera.org/learn/remote-team-management
125,Process Mining: Data science in Action,Eindhoven University of Technology,4.8,44k,Intermediate,https://www.coursera.org/learn/process-mining
126,Réussir le Changement,ESSEC Business School,4.5,35k,Mixed,https://www.coursera.org/learn/reussir-le-changement
127,"Social Norms, Social Change I",Unicef,4.6,84k,Beginner,https://www.coursera.org/learn/norms
128,Aboriginal Worldviews and Education,University of Toronto,4.7,8.5k,Mixed,https://www.coursera.org/learn/aboriginal-education
129,Fundamentos de Finanzas Empresariales,Universidad de los Andes,4.9,130k,Beginner,https://www.coursera.org/learn/finanzas-empresariales
130,Fundamentals of Music Theory,The University of Edinburgh,4.6,210k,Beginner,https://www.coursera.org/learn/edinburgh-music-theory
131,Introduction to Ancient Egypt and Its Civilization,University of Pennsylvania,4.6,88k,Intermediate,https://www.coursera.org/learn/introancientegypt
132,Data Analytics for Lean Six Sigma,University of Amsterdam,4.8,33k,Beginner,https://www.coursera.org/learn/data-analytics-for-lean-six-sigma
133,Arts and Heritage Management,Università Bocconi,4.8,19k,Mixed,https://www.coursera.org/learn/arts-heritage
134,Creative Thinking: Techniques and Tools for Success,Imperial College London,4.7,110k,Beginner,https://www.coursera.org/learn/creative-thinking-techniques-and-tools-for-success
135,Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,4.4,140k,Beginner,https://www.coursera.org/learn/aprendiendo-programar-python
136,Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,4.8,180k,Mixed,https://www.coursera.org/learn/gestionempresarialpyme
137,Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,4.7,20k,Beginner,https://www.coursera.org/learn/gender-sexuality
138,Moralities of Everyday Life,Yale University,4.8,92k,Mixed,https://www.coursera.org/learn/moralities
139,Claves para Gestionar Personas,IESE Business School,4.8,71k,Mixed,https://www.coursera.org/learn/gestionar-personas
140,Introduction to Engineering Mechanics,Georgia Institute of Technology,4.7,170k,Mixed,https://www.coursera.org/learn/engineering-mechanics-statics
141,In the Studio: Postwar Abstract Painting,The Museum of Modern Art,4.9,90k,Beginner,https://www.coursera.org/learn/painting
142,Understanding Einstein: The Special Theory of Relativity,Stanford University,4.9,100k,Beginner,https://www.coursera.org/learn/einstein-relativity
143,De-Mystifying Mindfulness,Universiteit Leiden,4.8,180k,Beginner,https://www.coursera.org/learn/mindfulness
144,Politics and Economics of International Energy,Sciences Po,4.7,39k,Beginner,https://www.coursera.org/learn/global-energy
145,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",4.6,100k,Intermediate,https://www.coursera.org/learn/bayesian-statistics
146,Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),4.8,51k,Intermediate,https://www.coursera.org/learn/nutrition-pregnancy
147,Bugs 101: Insect-Human Interactions,University of Alberta,4.9,22k,Beginner,https://www.coursera.org/learn/bugs-101
148,Leading Healthcare Quality and Safety,The George Washington University,4.7,22k,Beginner,https://www.coursera.org/learn/quality-healthcare
149,Fundamentos de Excel para Negocios,Universidad Austral,4.8,200k,Beginner,https://www.coursera.org/learn/excel-para-negocios
150,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,4.8,300k,Beginner,https://www.coursera.org/learn/mindshift
151,English for Journalism,University of Pennsylvania,4.8,150k,Mixed,https://www.coursera.org/learn/journalism
152,Econometrics: Methods and Applications,Erasmus University Rotterdam,4.6,130k,Mixed,https://www.coursera.org/learn/erasmus-econometrics
153,Chemicals and Health,Johns Hopkins University,4.7,37k,Beginner,https://www.coursera.org/learn/chemicals-health
154,Write A Feature Length Screenplay For Film Or Television,Michigan State University,4.7,20k,Beginner,https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television
155,Model Thinking,University of Michigan,4.8,140k,Mixed,https://www.coursera.org/learn/model-thinking
156,Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,4.3,100k,Beginner,https://www.coursera.org/learn/bioinformatics
157,International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,4.8,24k,Mixed,https://www.coursera.org/learn/arbitration-international-disputes
158,Finanzas personales,Universidad Nacional Autónoma de México,4.8,360k,Mixed,https://www.coursera.org/learn/finanzas-personales
159,Greening the Economy: Sustainable Cities,Lund University,4.6,69k,Beginner,https://www.coursera.org/learn/gte-sustainable-cities
160,The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,4.5,110k,Beginner,https://www.coursera.org/learn/human-needs
161,Marketing Gerencial,Universidad de Chile,4.7,57k,Intermediate,https://www.coursera.org/learn/marketing-gerencial
162,Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,4.9,25k,Intermediate,https://www.coursera.org/learn/revisao-sistematica
163,Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,4.7,160k,Beginner,https://www.coursera.org/learn/intro-data-science-programacion-estadistica-r
164,Cultural Competence - Aboriginal Sydney,The University of Sydney,4.7,7.5k,Beginner,https://www.coursera.org/learn/cultural-competence-aboriginal-sydney
165,Corporate Finance Essentials,IESE Business School,4.8,65k,Mixed,https://www.coursera.org/learn/corporate-finance-essentials
166,Global Energy and Climate Policy,University of London,4.6,13k,Beginner,https://www.coursera.org/learn/globalenergyandclimatepolicy
167,"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,4.7,11k,Beginner,https://www.coursera.org/learn/information-systems-audit
